Timestamp,,Your age?,Which media you choose to search for trips?,What kind of locations for trips make you happy?,With whom you like to go for trips?,How much time you like to spend on a trip?,What medium of transportation you choose while travelling?,What you do (online) in advance for your trip?,What kind of accommodation you choose? ,On which social network are you most active when it comes to sharing your travels?,What amount to prefer to spend on a trip? (NZ dollar),Anything else you would like to add regarding trips?,Name (optional),
2019/05/14 1:01:24 PM GMT+12,I Agree,36 - 55 year,Through websites,Peaceful;Discover new horizons,Family,3 - 4 days,Rent a car with driver,Hotel booking;Seat booking to travel,Standard hotel,What's app,6000,No,Vikram Vashishtha,
2019/05/14 1:32:11 PM GMT+12,I Agree,26 - 35 year,Both,Adventurous,Partner,3 - 4 days,Personal vehical,Hotel booking,Five star hotel;Standard hotel,Facebook;Instagram;Snapchat,700,Food,Sarbjit,
2019/05/14 1:58:11 PM GMT+12,I Agree,18 - 25 year,Both,Peaceful,Partner,1 week,Personal vehical,Hotel booking,Standard hotel,Instagram,"$1,500 ",No,,
2019/05/14 2:49:04 PM GMT+12,I Agree,18 - 25 year,Both,Peaceful;Adventurous;Educational;Festival celebration;Discover new horizons,Family;Alone;Friends;Partner,3 - 4 days,Personal vehical;Rent a car;Bus;Tourist bus;Train,Hotel booking;Tickets for entertainment places,Standard hotel,Facebook;Instagram,500,no,,
2019/05/14 3:40:36 PM GMT+12,I Agree,26 - 35 year,Both,Peaceful;Adventurous;Discover new horizons,Family;Alone;Friends,3 - 4 days,Rent a car;Rent a car with driver;Bus;Train;Boat or Ship;Taxi,Hotel booking;Seat booking to travel,Five star hotel;Standard hotel,I don't post anything on social media.,5000,,,
2019/05/14 3:48:48 PM GMT+12,I Agree,26 - 35 year,Both,Peaceful,Family,3 - 4 days,Rent a car,Tickets for entertainment places,Standard hotel,Facebook,300,I explore Sight seeing guides and maps,,
2019/05/14 4:41:54 PM GMT+12,I Agree,26 - 35 year,Through mobile apps,Peaceful;Adventurous;Festival celebration,Family;Friends;Partner,1 week,Rent a car,Hotel booking;Tickets for entertainment places;Seat booking to travel,Five star hotel;Rent an apartment,Instagram,3000,Would you go back again when you finish this trip?,Depends on how I feel and the meaning of this trip.,
2019/05/14 8:32:51 PM GMT+12,I Agree,26 - 35 year,Through websites,Peaceful;Adventurous,Family,1 week,Personal vehical,Hotel booking,Five star hotel;Standard hotel,Facebook,10000,Nothing,Deepak Arya,
2019/05/14 8:52:04 PM GMT+12,I Agree,18 - 25 year,Both,Discover new horizons,Family;Friends,3 - 4 days,Personal vehical,Hotel booking,Standard hotel,Instagram,500,,,
2019/05/14 8:54:31 PM GMT+12,I Agree,26 - 35 year,Both,Discover new horizons,Family;Friends;Partner,1 week,Rent a car;Flight,Hotel booking;Tickets for entertainment places;Seat booking to travel,Five star hotel,I don't post anything on social media.,0,,VS,
